department,jobtitle,gender,count
Accounting,"Accountant I",Female,30
Accounting,"Accountant I",Male,46
Accounting,"Accountant I",Non-Conforming,3
Accounting,"Accountant II",Female,48
Accounting,"Accountant II",Male,39
Accounting,"Accountant II",Non-Conforming,2
Accounting,"Accountant III",Female,45
Accounting,"Accountant III",Male,38
Accounting,"Accountant III",Non-Conforming,3
Accounting,"Accountant IV",Female,38
Accounting,"Accountant IV",Male,46
Accounting,"Accountant IV",Non-Conforming,3
Accounting,"Accounting Assistant I",Female,42
Accounting,"Accounting Assistant I",Male,44
Accounting,"Accounting Assistant I",Non-Conforming,3
Accounting,"Accounting Assistant II",Female,34
Accounting,"Accounting Assistant II",Male,47
Accounting,"Accounting Assistant II",Non-Conforming,2
Accounting,"Accounting Assistant III",Female,34
Accounting,"Accounting Assistant III",Male,35
Accounting,"Accounting Assistant III",Non-Conforming,3
Accounting,"Accounting Assistant IV",Female,49
Accounting,"Accounting Assistant IV",Male,46
Accounting,Actuary,Female,13
Accounting,Actuary,Male,15
Accounting,"Administrative Assistant I",Female,4
Accounting,"Administrative Assistant I",Male,3
Accounting,"Administrative Assistant I",Non-Conforming,1
Accounting,"Administrative Assistant II",Female,4
Accounting,"Administrative Assistant II",Male,1
Accounting,"Administrative Assistant III",Female,6
Accounting,"Administrative Assistant III",Male,2
Accounting,"Administrative Assistant IV",Female,3
Accounting,"Administrative Assistant IV",Male,4
Accounting,"Administrative Officer",Female,13
Accounting,"Administrative Officer",Male,15
Accounting,"Administrative Officer",Non-Conforming,1
Accounting,"Budget/Accounting Analyst I",Female,80
Accounting,"Budget/Accounting Analyst I",Male,79
Accounting,"Budget/Accounting Analyst I",Non-Conforming,2
Accounting,"Budget/Accounting Analyst II",Female,69
Accounting,"Budget/Accounting Analyst II",Male,93
Accounting,"Budget/Accounting Analyst II",Non-Conforming,4
Accounting,"Budget/Accounting Analyst III",Female,77
Accounting,"Budget/Accounting Analyst III",Male,78
Accounting,"Budget/Accounting Analyst III",Non-Conforming,5
Accounting,"Budget/Accounting Analyst IV",Female,82
Accounting,"Budget/Accounting Analyst IV",Male,94
Accounting,"Budget/Accounting Analyst IV",Non-Conforming,5
Accounting,"Cost Accountant",Female,139
Accounting,"Cost Accountant",Male,158
Accounting,"Cost Accountant",Non-Conforming,11
Accounting,"Financial Advisor",Female,14
Accounting,"Financial Advisor",Male,12
Accounting,"Financial Advisor",Non-Conforming,2
Accounting,"Financial Analyst",Female,36
Accounting,"Financial Analyst",Male,29
Accounting,"Financial Analyst",Non-Conforming,2
Accounting,"Payment Adjustment Coordinator",Female,8
Accounting,"Payment Adjustment Coordinator",Male,15
Accounting,"Senior Cost Accountant",Female,148
Accounting,"Senior Cost Accountant",Male,160
Accounting,"Senior Cost Accountant",Non-Conforming,9
Accounting,"Senior Financial Analyst",Female,12
Accounting,"Senior Financial Analyst",Male,18
Accounting,"Staff Accountant I",Female,195
Accounting,"Staff Accountant I",Male,237
Accounting,"Staff Accountant I",Non-Conforming,9
Accounting,"Staff Accountant II",Female,36
Accounting,"Staff Accountant II",Male,40
Accounting,"Staff Accountant II",Non-Conforming,4
Accounting,"Staff Accountant III",Female,40
Accounting,"Staff Accountant III",Male,48
Accounting,"Staff Accountant III",Non-Conforming,8
Accounting,"Staff Accountant IV",Female,55
Accounting,"Staff Accountant IV",Male,44
Accounting,"Staff Accountant IV",Non-Conforming,3
Accounting,"Structural Engineer",Female,14
Accounting,"Structural Engineer",Male,14
Accounting,"Tax Accountant",Female,128
Accounting,"Tax Accountant",Male,170
Accounting,"Tax Accountant",Non-Conforming,5
Accounting,"VP Accounting",Female,35
Accounting,"VP Accounting",Male,41
Accounting,"VP Accounting",Non-Conforming,1
Auditing,"Internal Auditor",Female,24
Auditing,"Internal Auditor",Male,28
"Business Development","Business Analyst",Female,273
"Business Development","Business Analyst",Male,296
"Business Development","Business Analyst",Non-Conforming,20
"Business Development","Business Development Manager",Female,1
"Business Development","Business Development Manager",Male,4
"Business Development","Human Resources Analyst II",Female,1
"Business Development","Human Resources Analyst II",Male,1
"Business Development","Research Assistant I",Female,127
"Business Development","Research Assistant I",Male,156
"Business Development","Research Assistant I",Non-Conforming,8
"Business Development","Research Assistant II",Female,351
"Business Development","Research Assistant II",Male,371
"Business Development","Research Assistant II",Non-Conforming,21
"Business Development","Research Assistant III",Female,4
"Business Development","Research Assistant III",Male,8
Engineering,"Administrative Assistant I",Female,3
Engineering,"Administrative Assistant I",Male,2
Engineering,"Administrative Assistant II",Female,2
Engineering,"Administrative Assistant II",Male,2
Engineering,"Administrative Assistant II",Non-Conforming,1
Engineering,"Administrative Assistant III",Female,3
Engineering,"Administrative Assistant III",Male,4
Engineering,"Administrative Assistant IV",Male,1
Engineering,"Administrative Officer",Female,14
Engineering,"Administrative Officer",Male,15
Engineering,"Administrative Officer",Non-Conforming,1
Engineering,"Analog Circuit Design manager",Female,20
Engineering,"Analog Circuit Design manager",Male,27
Engineering,"Analog Circuit Design manager",Non-Conforming,1
Engineering,"Analyst Programmer",Female,181
Engineering,"Analyst Programmer",Male,179
Engineering,"Analyst Programmer",Non-Conforming,12
Engineering,"Assistant Manager",Female,8
Engineering,"Assistant Manager",Male,8
Engineering,"Associate Professor",Male,1
Engineering,"Automation Specialist I",Female,5
Engineering,"Automation Specialist I",Male,13
Engineering,"Automation Specialist I",Non-Conforming,3
Engineering,"Automation Specialist II",Female,8
Engineering,"Automation Specialist II",Male,11
Engineering,"Automation Specialist II",Non-Conforming,2
Engineering,"Automation Specialist III",Female,3
Engineering,"Automation Specialist III",Male,2
Engineering,"Automation Specialist IV",Female,6
Engineering,"Automation Specialist IV",Male,6
Engineering,"Business Analyst",Female,27
Engineering,"Business Analyst",Male,24
Engineering,"Business Analyst",Non-Conforming,4
Engineering,"Business Systems Development Analyst",Female,155
Engineering,"Business Systems Development Analyst",Male,172
Engineering,"Business Systems Development Analyst",Non-Conforming,14
Engineering,"Chief Design Engineer",Female,35
Engineering,"Chief Design Engineer",Male,34
Engineering,"Chief Design Engineer",Non-Conforming,2
Engineering,"Computer Systems Analyst I",Female,45
Engineering,"Computer Systems Analyst I",Male,43
Engineering,"Computer Systems Analyst I",Non-Conforming,2
Engineering,"Computer Systems Analyst II",Female,43
Engineering,"Computer Systems Analyst II",Male,48
Engineering,"Computer Systems Analyst II",Non-Conforming,1
Engineering,"Computer Systems Analyst III",Female,34
Engineering,"Computer Systems Analyst III",Male,40
Engineering,"Computer Systems Analyst III",Non-Conforming,2
Engineering,"Computer Systems Analyst IV",Female,30
Engineering,"Computer Systems Analyst IV",Male,41
Engineering,"Computer Systems Analyst IV",Non-Conforming,1
Engineering,"Data Coordiator",Female,162
Engineering,"Data Coordiator",Male,179
Engineering,"Data Coordiator",Non-Conforming,15
Engineering,"Data Visualization Specialist",Female,202
Engineering,"Data Visualization Specialist",Male,242
Engineering,"Data Visualization Specialist",Non-Conforming,13
Engineering,"Database Administrator I",Female,36
Engineering,"Database Administrator I",Male,44
Engineering,"Database Administrator I",Non-Conforming,4
Engineering,"Database Administrator II",Female,41
Engineering,"Database Administrator II",Male,49
Engineering,"Database Administrator II",Non-Conforming,1
Engineering,"Database Administrator III",Female,44
Engineering,"Database Administrator III",Male,36
Engineering,"Database Administrator III",Non-Conforming,3
Engineering,"Database Administrator IV",Female,43
Engineering,"Database Administrator IV",Male,38
Engineering,"Database Administrator IV",Non-Conforming,2
Engineering,"Design Engineer",Female,17
Engineering,"Design Engineer",Male,11
Engineering,"Developer I",Female,47
Engineering,"Developer I",Male,30
Engineering,"Developer I",Non-Conforming,4
Engineering,"Developer II",Female,31
Engineering,"Developer II",Male,29
Engineering,"Developer II",Non-Conforming,7
Engineering,"Developer III",Female,36
Engineering,"Developer III",Male,46
Engineering,"Developer III",Non-Conforming,1
Engineering,"Developer IV",Female,39
Engineering,"Developer IV",Male,37
Engineering,"Electrical Engineer",Female,17
Engineering,"Electrical Engineer",Male,13
Engineering,"Electrical Engineer",Non-Conforming,1
Engineering,"Engineer I",Female,4
Engineering,"Engineer I",Male,5
Engineering,"Engineer II",Female,1
Engineering,"Engineer II",Male,5
Engineering,"Engineer III",Female,1
Engineering,"Engineer III",Male,3
Engineering,"Engineer IV",Female,1
Engineering,"Engineer IV",Male,2
Engineering,"Information Systems Manager",Female,16
Engineering,"Information Systems Manager",Male,15
Engineering,"Information Systems Manager",Non-Conforming,1
Engineering,"Mechanical Systems Engineer",Female,17
Engineering,"Mechanical Systems Engineer",Male,10
Engineering,"Mechanical Systems Engineer",Non-Conforming,1
Engineering,"Product Engineer",Female,15
Engineering,"Product Engineer",Male,18
Engineering,"Programmer Analyst I",Female,46
Engineering,"Programmer Analyst I",Male,43
Engineering,"Programmer Analyst I",Non-Conforming,5
Engineering,"Programmer Analyst II",Female,43
Engineering,"Programmer Analyst II",Male,49
Engineering,"Programmer Analyst II",Non-Conforming,1
Engineering,"Programmer Analyst III",Female,36
Engineering,"Programmer Analyst III",Male,44
Engineering,"Programmer Analyst IV",Female,34
Engineering,"Programmer Analyst IV",Male,39
Engineering,"Programmer Analyst IV",Non-Conforming,3
Engineering,"Programmer I",Female,39
Engineering,"Programmer I",Male,41
Engineering,"Programmer I",Non-Conforming,6
Engineering,"Programmer II",Female,37
Engineering,"Programmer II",Male,40
Engineering,"Programmer II",Non-Conforming,2
Engineering,"Programmer III",Female,41
Engineering,"Programmer III",Male,40
Engineering,"Programmer IV",Female,26
Engineering,"Programmer IV",Male,36
Engineering,"Programmer IV",Non-Conforming,1
Engineering,"Quality Control Specialist",Female,17
Engineering,"Quality Control Specialist",Male,14
Engineering,"Quality Control Specialist",Non-Conforming,1
Engineering,"Quality Engineer",Female,15
Engineering,"Quality Engineer",Male,14
Engineering,"Recruiting Manager",Female,12
Engineering,"Recruiting Manager",Male,8
Engineering,"Recruiting Manager",Non-Conforming,2
Engineering,"Research Assistant I",Female,17
Engineering,"Research Assistant I",Male,14
Engineering,"Research Assistant I",Non-Conforming,2
