Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales,Highest
Action,861.8,516.48,158.66,184.92,1722.88,NA
Sports,670.09,371.34,134.76,132.65,1309.24,NA
Shooter,575.16,310.45,38.18,101.9,1026.2,NA
Role-Playing,326.5,187.58,350.29,59.38,923.84,JP
Platform,445.99,200.67,130.65,51.51,829.15,NA
Misc,402.48,213.82,106.67,74.02,797.62,NA
Racing,356.93,236.32,56.61,76.68,726.77,NA
Fighting,220.74,100,87.15,36.19,444.05,NA
Simulation,181.78,113.2,63.54,31.36,390.16,NA
Puzzle,122.01,50.53,56.68,12.47,242.22,NA
Adventure,102.06,63.79,52.01,16.7,234.8,NA
Strategy,67.89,44.94,49.1,11.23,173.43,NA
